zone,zone_detail,node_id,node_name,voltage,lat,lng,section,technology,technology_label,status,grid,value_mw
PENINSULAR,Peninsular,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Con permisos,RdT,32672
PENINSULAR,Peninsular,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Con permisos,RdD,11999
PENINSULAR,Peninsular,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Puesta en servicio,RdT,13351.95
PENINSULAR,Peninsular,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Puesta en servicio,RdD,9724.16
PENINSULAR,Peninsular,,,,,,capacidad_acceso,almacenamiento,Baterías,En curso,RdT,9709.0
PENINSULAR,Peninsular,,,,,,capacidad_acceso,almacenamiento,Baterías,En curso,RdD,3422.27
PENINSULAR,Peninsular,,,,,,capacidad_acceso,almacenamiento,Baterías,Con permisos,RdT,4662
PENINSULAR,Peninsular,,,,,,capacidad_acceso,almacenamiento,Baterías,Con permisos,RdD,4796
PENINSULAR,Peninsular,,,,,,capacidad_acceso,almacenamiento,Baterías,Puesta en servicio,RdT,
PENINSULAR,Peninsular,,,,,,capacidad_acceso,almacenamiento,Baterías,Puesta en servicio,RdD,8.15
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hibridacion,Hibridación,En curso,RdT,1653.71
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hibridacion,Hibridación,En curso,RdD,178.18
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hibridacion,Hibridación,Con permisos,RdT,10033
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hibridacion,Hibridación,Con permisos,RdD,1322
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hibridacion,Hibridación,Puesta en servicio,RdT,21970.75
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hibridacion,Hibridación,Puesta en servicio,RdD,3094.01
PENINSULAR,Peninsular,,,,,,capacidad_acceso,termosolar,Termosolar,Con permisos,RdT,
PENINSULAR,Peninsular,,,,,,capacidad_acceso,termosolar,Termosolar,Con permisos,RdD,50
PENINSULAR,Peninsular,,,,,,capacidad_acceso,termosolar,Termosolar,Puesta en servicio,RdT,1147
PENINSULAR,Peninsular,,,,,,capacidad_acceso,termosolar,Termosolar,Puesta en servicio,RdD,520.5
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hidraulica,Hidráulica,Con permisos,RdT,191
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hidraulica,Hidráulica,Con permisos,RdD,37
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hidraulica,Hidráulica,Puesta en servicio,RdT,6402.18
PENINSULAR,Peninsular,,,,,,capacidad_acceso,hidraulica,Hidráulica,Puesta en servicio,RdD,6021.84
PENINSULAR,Peninsular,,,,,,capacidad_acceso,bombeo,Bombeo,En curso,RdT,1009
PENINSULAR,Peninsular,,,,,,capacidad_acceso,bombeo,Bombeo,En curso,RdD,
PENINSULAR,Peninsular,,,,,,capacidad_acceso,bombeo,Bombeo,Con permisos,RdT,3356
PENINSULAR,Peninsular,,,,,,capacidad_acceso,bombeo,Bombeo,Con permisos,RdD,
PENINSULAR,Peninsular,,,,,,capacidad_acceso,bombeo,Bombeo,Puesta en servicio,RdT,5377.85
PENINSULAR,Peninsular,,,,,,capacidad_acceso,bombeo,Bombeo,Puesta en servicio,RdD,
PENINSULAR,Peninsular,,,,,,capacidad_acceso,otras,Otras tecnologías,En curso,RdT,4570.06
PENINSULAR,Peninsular,,,,,,capacidad_acceso,otras,Otras tecnologías,En curso,RdD,55.18
PENINSULAR,Peninsular,,,,,,capacidad_acceso,otras,Otras tecnologías,Con permisos,RdT,249
PENINSULAR,Peninsular,,,,,,capacidad_acceso,otras,Otras tecnologías,Con permisos,RdD,514
PENINSULAR,Peninsular,,,,,,capacidad_acceso,otras,Otras tecnologías,Puesta en servicio,RdT,31056.03
PENINSULAR,Peninsular,,,,,,capacidad_acceso,otras,Otras tecnologías,Puesta en servicio,RdD,6261.03
PENINSULAR,Peninsular,,,,,,potencia_instalada,eolica,Eólica,En curso,RdT,11587.35
PENINSULAR,Peninsular,,,,,,potencia_instalada,eolica,Eólica,En curso,RdD,1982.29
PENINSULAR,Peninsular,,,,,,potencia_instalada,eolica,Eólica,Con permisos,RdT,18085
PENINSULAR,Peninsular,,,,,,potencia_instalada,eolica,Eólica,Con permisos,RdD,4827
PENINSULAR,Peninsular,,,,,,potencia_instalada,eolica,Eólica,Puesta en servicio,RdT,21846
PENINSULAR,Peninsular,,,,,,potencia_instalada,eolica,Eólica,Puesta en servicio,RdD,10058.34
PENINSULAR,Peninsular,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,En curso,RdT,10197.14
PENINSULAR,Peninsular,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,En curso,RdD,5842.67
PENINSULAR,Peninsular,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Con permisos,RdT,51165
PENINSULAR,Peninsular,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Con permisos,RdD,15256
PENINSULAR,Peninsular,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Puesta en servicio,RdT,30297.98
PENINSULAR,Peninsular,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Puesta en servicio,RdD,12563.56
PENINSULAR,Peninsular,,,,,,potencia_instalada,almacenamiento,Baterías,En curso,RdT,10145.6
PENINSULAR,Peninsular,,,,,,potencia_instalada,almacenamiento,Baterías,En curso,RdD,3707.59
PENINSULAR,Peninsular,,,,,,potencia_instalada,almacenamiento,Baterías,Con permisos,RdT,19364
PENINSULAR,Peninsular,,,,,,potencia_instalada,almacenamiento,Baterías,Con permisos,RdD,6906
PENINSULAR,Peninsular,,,,,,potencia_instalada,almacenamiento,Baterías,Puesta en servicio,RdT,135.3
PENINSULAR,Peninsular,,,,,,potencia_instalada,almacenamiento,Baterías,Puesta en servicio,RdD,74.84
PENINSULAR,Peninsular,,,,,,potencia_instalada,termosolar,Termosolar,Con permisos,RdT,
PENINSULAR,Peninsular,,,,,,potencia_instalada,termosolar,Termosolar,Con permisos,RdD,81
PENINSULAR,Peninsular,,,,,,potencia_instalada,termosolar,Termosolar,Puesta en servicio,RdT,1698.6
PENINSULAR,Peninsular,,,,,,potencia_instalada,termosolar,Termosolar,Puesta en servicio,RdD,570.5
PENINSULAR,Peninsular,,,,,,potencia_instalada,hidraulica,Hidráulica,En curso,RdT,
PENINSULAR,Peninsular,,,,,,potencia_instalada,hidraulica,Hidráulica,En curso,RdD,15.2
PENINSULAR,Peninsular,,,,,,potencia_instalada,hidraulica,Hidráulica,Con permisos,RdT,495
PENINSULAR,Peninsular,,,,,,potencia_instalada,hidraulica,Hidráulica,Con permisos,RdD,89
PENINSULAR,Peninsular,,,,,,potencia_instalada,hidraulica,Hidráulica,Puesta en servicio,RdT,6908.14
PENINSULAR,Peninsular,,,,,,potencia_instalada,hidraulica,Hidráulica,Puesta en servicio,RdD,6028.92
PENINSULAR,Peninsular,,,,,,potencia_instalada,bombeo,Bombeo,En curso,RdT,1009
PENINSULAR,Peninsular,,,,,,potencia_instalada,bombeo,Bombeo,En curso,RdD,
PENINSULAR,Peninsular,,,,,,potencia_instalada,bombeo,Bombeo,Con permisos,RdT,2966
PENINSULAR,Peninsular,,,,,,potencia_instalada,bombeo,Bombeo,Con permisos,RdD,
PENINSULAR,Peninsular,,,,,,potencia_instalada,bombeo,Bombeo,Puesta en servicio,RdT,5454.03
PENINSULAR,Peninsular,,,,,,potencia_instalada,bombeo,Bombeo,Puesta en servicio,RdD,
PENINSULAR,Peninsular,,,,,,potencia_instalada,otras,Otras tecnologías,En curso,RdT,5354.2
PENINSULAR,Peninsular,,,,,,potencia_instalada,otras,Otras tecnologías,En curso,RdD,41.2
PENINSULAR,Peninsular,,,,,,potencia_instalada,otras,Otras tecnologías,Con permisos,RdT,642
PENINSULAR,Peninsular,,,,,,potencia_instalada,otras,Otras tecnologías,Con permisos,RdD,727
PENINSULAR,Peninsular,,,,,,potencia_instalada,otras,Otras tecnologías,Puesta en servicio,RdT,35118.32
PENINSULAR,Peninsular,,,,,,potencia_instalada,otras,Otras tecnologías,Puesta en servicio,RdD,6642.51
CCAA,Andalucía,,,,,,capacidad_acceso,eolica,Eólica,En curso,RdT,580.5
CCAA,Andalucía,,,,,,capacidad_acceso,eolica,Eólica,En curso,RdD,146.18
CCAA,Andalucía,,,,,,capacidad_acceso,eolica,Eólica,Con permisos,RdT,1004
CCAA,Andalucía,,,,,,capacidad_acceso,eolica,Eólica,Con permisos,RdD,239
CCAA,Andalucía,,,,,,capacidad_acceso,eolica,Eólica,Puesta en servicio,RdT,1822.47
CCAA,Andalucía,,,,,,capacidad_acceso,eolica,Eólica,Puesta en servicio,RdD,829.31
CCAA,Andalucía,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,En curso,RdT,1328.4
CCAA,Andalucía,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,En curso,RdD,1736.27
CCAA,Andalucía,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Con permisos,RdT,6900
CCAA,Andalucía,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Con permisos,RdD,3503
CCAA,Andalucía,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Puesta en servicio,RdT,4541.11
CCAA,Andalucía,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Puesta en servicio,RdD,2517.59
CCAA,Andalucía,,,,,,capacidad_acceso,almacenamiento,Baterías,En curso,RdT,1047.56
CCAA,Andalucía,,,,,,capacidad_acceso,almacenamiento,Baterías,En curso,RdD,84.9
CCAA,Andalucía,,,,,,capacidad_acceso,almacenamiento,Baterías,Con permisos,RdT,941
CCAA,Andalucía,,,,,,capacidad_acceso,almacenamiento,Baterías,Con permisos,RdD,821
CCAA,Andalucía,,,,,,capacidad_acceso,hibridacion,Hibridación,En curso,RdT,389.2
CCAA,Andalucía,,,,,,capacidad_acceso,hibridacion,Hibridación,En curso,RdD,81.2
CCAA,Andalucía,,,,,,capacidad_acceso,hibridacion,Hibridación,Con permisos,RdT,1096
CCAA,Andalucía,,,,,,capacidad_acceso,hibridacion,Hibridación,Con permisos,RdD,324
CCAA,Andalucía,,,,,,capacidad_acceso,hibridacion,Hibridación,Puesta en servicio,RdT,3491.34
CCAA,Andalucía,,,,,,capacidad_acceso,hibridacion,Hibridación,Puesta en servicio,RdD,701.68
CCAA,Andalucía,,,,,,capacidad_acceso,termosolar,Termosolar,Puesta en servicio,RdT,549.6
CCAA,Andalucía,,,,,,capacidad_acceso,termosolar,Termosolar,Puesta en servicio,RdD,266.9
CCAA,Andalucía,,,,,,capacidad_acceso,hidraulica,Hidráulica,Con permisos,RdT,
CCAA,Andalucía,,,,,,capacidad_acceso,hidraulica,Hidráulica,Con permisos,RdD,7
CCAA,Andalucía,,,,,,capacidad_acceso,hidraulica,Hidráulica,Puesta en servicio,RdT,
CCAA,Andalucía,,,,,,capacidad_acceso,hidraulica,Hidráulica,Puesta en servicio,RdD,572.53
CCAA,Andalucía,,,,,,capacidad_acceso,bombeo,Bombeo,En curso,RdT,150
CCAA,Andalucía,,,,,,capacidad_acceso,bombeo,Bombeo,En curso,RdD,
CCAA,Andalucía,,,,,,capacidad_acceso,bombeo,Bombeo,Con permisos,RdT,356
CCAA,Andalucía,,,,,,capacidad_acceso,bombeo,Bombeo,Con permisos,RdD,
CCAA,Andalucía,,,,,,capacidad_acceso,bombeo,Bombeo,Puesta en servicio,RdT,570
CCAA,Andalucía,,,,,,capacidad_acceso,bombeo,Bombeo,Puesta en servicio,RdD,
CCAA,Andalucía,,,,,,capacidad_acceso,otras,Otras tecnologías,En curso,RdT,2286.16
CCAA,Andalucía,,,,,,capacidad_acceso,otras,Otras tecnologías,En curso,RdD,
CCAA,Andalucía,,,,,,capacidad_acceso,otras,Otras tecnologías,Con permisos,RdT,
CCAA,Andalucía,,,,,,capacidad_acceso,otras,Otras tecnologías,Con permisos,RdD,60
CCAA,Andalucía,,,,,,capacidad_acceso,otras,Otras tecnologías,Puesta en servicio,RdT,5770.67
CCAA,Andalucía,,,,,,capacidad_acceso,otras,Otras tecnologías,Puesta en servicio,RdD,1001.42
CCAA,Andalucía,,,,,,potencia_instalada,eolica,Eólica,En curso,RdT,593.93
CCAA,Andalucía,,,,,,potencia_instalada,eolica,Eólica,En curso,RdD,146.18
CCAA,Andalucía,,,,,,potencia_instalada,eolica,Eólica,Con permisos,RdT,1353
CCAA,Andalucía,,,,,,potencia_instalada,eolica,Eólica,Con permisos,RdD,476
CCAA,Andalucía,,,,,,potencia_instalada,eolica,Eólica,Puesta en servicio,RdT,2488.02
CCAA,Andalucía,,,,,,potencia_instalada,eolica,Eólica,Puesta en servicio,RdD,1071.51
CCAA,Andalucía,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,En curso,RdT,1930.92
CCAA,Andalucía,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,En curso,RdD,1636.67
CCAA,Andalucía,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Con permisos,RdT,9828
CCAA,Andalucía,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Con permisos,RdD,4288
CCAA,Andalucía,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Puesta en servicio,RdT,7950.31
CCAA,Andalucía,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Puesta en servicio,RdD,3279.62
CCAA,Andalucía,,,,,,potencia_instalada,almacenamiento,Baterías,En curso,RdT,1057.56
CCAA,Andalucía,,,,,,potencia_instalada,almacenamiento,Baterías,En curso,RdD,151.12
CCAA,Andalucía,,,,,,potencia_instalada,almacenamiento,Baterías,Con permisos,RdT,3548
CCAA,Andalucía,,,,,,potencia_instalada,almacenamiento,Baterías,Con permisos,RdD,1413
CCAA,Andalucía,,,,,,potencia_instalada,almacenamiento,Baterías,Puesta en servicio,RdT,28.78
CCAA,Andalucía,,,,,,potencia_instalada,almacenamiento,Baterías,Puesta en servicio,RdD,0.6
CCAA,Andalucía,,,,,,potencia_instalada,termosolar,Termosolar,Con permisos,RdT,
CCAA,Andalucía,,,,,,potencia_instalada,termosolar,Termosolar,Con permisos,RdD,31
CCAA,Andalucía,,,,,,potencia_instalada,termosolar,Termosolar,Puesta en servicio,RdT,699.6
CCAA,Andalucía,,,,,,potencia_instalada,termosolar,Termosolar,Puesta en servicio,RdD,266.9
CCAA,Andalucía,,,,,,potencia_instalada,hidraulica,Hidráulica,Con permisos,RdT,
CCAA,Andalucía,,,,,,potencia_instalada,hidraulica,Hidráulica,Con permisos,RdD,6
CCAA,Andalucía,,,,,,potencia_instalada,hidraulica,Hidráulica,Puesta en servicio,RdT,34.1
CCAA,Andalucía,,,,,,potencia_instalada,hidraulica,Hidráulica,Puesta en servicio,RdD,572.53
CCAA,Andalucía,,,,,,potencia_instalada,bombeo,Bombeo,En curso,RdT,150
CCAA,Andalucía,,,,,,potencia_instalada,bombeo,Bombeo,En curso,RdD,
CCAA,Andalucía,,,,,,potencia_instalada,bombeo,Bombeo,Con permisos,RdT,356
CCAA,Andalucía,,,,,,potencia_instalada,bombeo,Bombeo,Con permisos,RdD,
CCAA,Andalucía,,,,,,potencia_instalada,bombeo,Bombeo,Puesta en servicio,RdT,584.87
CCAA,Andalucía,,,,,,potencia_instalada,bombeo,Bombeo,Puesta en servicio,RdD,
CCAA,Andalucía,,,,,,potencia_instalada,otras,Otras tecnologías,En curso,RdT,2706.63
CCAA,Andalucía,,,,,,potencia_instalada,otras,Otras tecnologías,En curso,RdD,
CCAA,Andalucía,,,,,,potencia_instalada,otras,Otras tecnologías,Con permisos,RdT,
CCAA,Andalucía,,,,,,potencia_instalada,otras,Otras tecnologías,Con permisos,RdD,61
CCAA,Andalucía,,,,,,potencia_instalada,otras,Otras tecnologías,Puesta en servicio,RdT,6762.2
CCAA,Andalucía,,,,,,potencia_instalada,otras,Otras tecnologías,Puesta en servicio,RdD,1011.41
CCAA,Aragón,,,,,,capacidad_acceso,eolica,Eólica,En curso,RdT,1401.39
CCAA,Aragón,,,,,,capacidad_acceso,eolica,Eólica,En curso,RdD,
CCAA,Aragón,,,,,,capacidad_acceso,eolica,Eólica,Con permisos,RdT,2302
CCAA,Aragón,,,,,,capacidad_acceso,eolica,Eólica,Con permisos,RdD,376
CCAA,Aragón,,,,,,capacidad_acceso,eolica,Eólica,Puesta en servicio,RdT,2602.5
CCAA,Aragón,,,,,,capacidad_acceso,eolica,Eólica,Puesta en servicio,RdD,1322.37
CCAA,Aragón,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,En curso,RdT,479.72
CCAA,Aragón,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,En curso,RdD,
CCAA,Aragón,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Con permisos,RdT,4356
CCAA,Aragón,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Con permisos,RdD,620
CCAA,Aragón,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Puesta en servicio,RdT,614.42
CCAA,Aragón,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Puesta en servicio,RdD,904.9
CCAA,Aragón,,,,,,capacidad_acceso,almacenamiento,Baterías,En curso,RdT,725.89
CCAA,Aragón,,,,,,capacidad_acceso,almacenamiento,Baterías,En curso,RdD,
CCAA,Aragón,,,,,,capacidad_acceso,almacenamiento,Baterías,Con permisos,RdT,209
CCAA,Aragón,,,,,,capacidad_acceso,almacenamiento,Baterías,Con permisos,RdD,
CCAA,Aragón,,,,,,capacidad_acceso,hibridacion,Hibridación,En curso,RdT,242.45
CCAA,Aragón,,,,,,capacidad_acceso,hibridacion,Hibridación,En curso,RdD,
CCAA,Aragón,,,,,,capacidad_acceso,hibridacion,Hibridación,Con permisos,RdT,2001
CCAA,Aragón,,,,,,capacidad_acceso,hibridacion,Hibridación,Con permisos,RdD,178
CCAA,Aragón,,,,,,capacidad_acceso,hibridacion,Hibridación,Puesta en servicio,RdT,3571.74
CCAA,Aragón,,,,,,capacidad_acceso,hibridacion,Hibridación,Puesta en servicio,RdD,973.51
